,First_pokemon,Second_pokemon,Winner
0,Virizion,Terrakion,Terrakion
1,Slugma,Druddigon,Druddigon
2,Pineco,Clauncher,Clauncher
3,Starly,Staryu,Staryu
4,Terrakion,Yamask,Terrakion
5,Lapras,Raikou,Raikou
6,Petilil,Emolga,Emolga
7,Lugia,Zekrom,Lugia
8,Tirtouga,Tyrunt,Tyrunt
9,Scraggy,Zigzagoon,Zigzagoon
10,Patrat,Remoraid,Remoraid
11,Pidove,Remoraid,Remoraid
12,Shieldon,Magby,Magby
13,Smoochum,Phantump,Smoochum
14,Delibird,Skiddo,Delibird
15,Espurr,Roggenrola,Espurr
16,Pidove,Sandile,Sandile
17,Volbeat,Moltres,Moltres
18,Ralts,Shuppet,Shuppet
19,Omanyte,Suicune,Suicune
20,Chimchar,Terrakion,Terrakion
21,Remoraid,Swablu,Remoraid
22,Piplup,Yanma,Yanma
23,Joltik,Trapinch,Joltik
24,Zubat,Darumaka,Zubat
25,Trapinch,Phione,Phione
26,Larvesta,Aerodactyl,Aerodactyl
27,Doduo,Spiritomb,Spiritomb
28,Girafarig,Oddish,Girafarig
29,Litleo,Delibird,Delibird
30,Diglett,Oshawott,Oshawott
31,Cresselia,Phantump,Cresselia
32,Anorith,Cresselia,Cresselia
33,Magnemite,Feebas,Magnemite
34,Heracross,Stantler,Stantler
35,Munchlax,Latios,Munchlax
36,Drifloon,Timburr,Drifloon
37,Darkrai,Buneary,Darkrai
38,Pinsir,Nincada,Pinsir
39,Zekrom,Piplup,Zekrom
40,Amaura,Entei,Entei
41,Nosepass,Regigigas,Regigigas
42,Litwick,Snubbull,Snubbull
43,Uxie,Genesect,Genesect
44,Lileep,Kabuto,Kabuto
45,Pinsir,Larvesta,Pinsir
46,Grimer,Entei,Entei
47,Fletchling,Pinsir,Pinsir
48,Swablu,Tropius,Tropius
49,Rufflet,Goldeen,Goldeen
50,Surskit,Regigigas,Regigigas
51,Panpour,Wingull,Wingull
52,Makuhita,Mewtwo,Mewtwo
53,Latios,Genesect,Latios
54,Venonat,Rotom,Rotom
55,Miltank,Aerodactyl,Aerodactyl
56,Chatot,Swinub,Chatot
57,Shuppet,Pidgey,Pidgey
58,Totodile,Petilil,Totodile
59,Darkrai,Amaura,Darkrai
60,Purrloin,Skiddo,Purrloin
61,Houndour,Bidoof,Houndour
62,Yveltal,Spinda,Yveltal
63,Dedenne,Blitzle,Dedenne
